"","resolved_common_name","merged_common_names","merged_scientific_names"
"59068","red eared slider turtle","red eared slider turtle","trachemys scripta"
"59069","","","acetobacter aceti"
"59070","","","sulfolobus acidocaldarius"
"59077","","","otala lactea"
"59726","","","dalbergia nigrescens"
"59728","","","penicillium decumbens"
"60119","","","baptisia"
"60120","","","thermopsis"
"60123","","","piptanthus nepalensis"
"60124","","","pueraria lobata"
"60125","kudzu","kudzu","pueraria montana var. lobata"
"60450","","","acremonium chrysogenum"
"60592","","","streptomyces albulus; streptomyces albus"
"60640","","","halobacterium mediterranei"
"60641","","","haloarcula marismortui"
"60642","","","flaveria brownii"
"60649","","","sarcina ventriculi"
"60650","","","clostridium botulinum"
"60652","","","streptococcus bovis"
"60661","","","bilophila wadsworthia"
"60664","natterjack toad","natterjack toad","bufo calamita"
"60666","","","lactobacillus delbrueckii subsp. bulgaricus; lactobacillus delbrueckii ssp. bulgaricus"
"60670","american bullfrog","american bullfrog","rana catesbeiana"
"60677","","","toxoplasma gondii"
"60685","lesser rhea","lesser rhea","pterocnemia pennata"
"60686","","","thunnus sp."
"60689","","","scheffersomyces stipitis"
"60692","","","plasmodium malariae"
"60694","","","helix aspersa"
"60699","","","staphylococcus sp."
"60709","","","capsella bursa"
"60711","","","claviceps purpurea"
"60712","","","crassula argentea"
"60713","","","epidalea calamita"
"60714","","","gadus morhua"
"60718","","","mammalia"
"60723","","","propionibacterium sp."
"60725","","","lactobacillus curvatus"
"60726","","","lactobacillus leichmannii"
"60727","","","bacillus thermodenitrificans"
"60728","","","pediococcus damnosus"
"60733","","","zymobacter palmae"
"60735","","","mycobacterium bovis"
"60743","","","miscanthus x giganteus"
"60744","","","acholeplasma laidlawii"
"60745","filaria","filaria","molinema dessetae"
"60748","","","arundinaria sp.; arundinaria"
"60750","","","mycoplasma sp."
"60823","malaria parasite p. ovale","malaria parasite p. ovale","plasmodium ovale"
"60826","rock pigeon","rock pigeon","columba livia"
"60827","ring necked pheasant","ring necked pheasant","phasianus colchicus"
"60831","pelican barracuda","pelican barracuda","sphyraena idiastes"
"60832","pacific barracuda","pacific barracuda","sphyraena argentea"
"60833","lucas barracuda","lucas barracuda","sphyraena lucasana"
"60834","great barracuda","great barracuda","sphyraena barracuda"
"60871","","","oligosoma polychroma"
"60876","","","sphyraena ensis"
"60877","","","sporolactobacillus inulinus"
"60878","","","staphylococcus hominis"
"60880","","","streptococcus uberis"
"60881","","","streptomyces ambofaciens"
"60892","","","thermococcus guaymasensis"
"60898","","","tritrichomonas suis"
"60906","","","limulus polyphemus"
"60914","","","neisseria meningitidis"
"60915","","","nocardia asteroides"
"60917","","","orconectes virilis"
"60924","","","populus deltoides"
"60928","","","zygosaccharomyces bisporus"
"60959","","","plasmodium vivax"
"60960","","","thermoproteus tenax"
"60988","","","haemaphysalis longicornis"
"60991","","","botryococcus braunii"
"60994","","","clostridium ventriculi"
"60995","","","emiliania huxleyi"
"60996","","","enterococcus mundtii"
"60998","","","haliotis cracherodii"
"61001","","","lactobacillus antri"
"61002","","","lactobacillus delbrueckii"
"61007","","","methanosarcina barkeri"
"61008","","","oligosoma macgregori"
"61009","","","pediococcus acidilactici; pediococcus acidilacici"
"61010","","","propionibacterium freudenreichii"
"61015","","","sphyraena helleri"
"61017","","","plasmodium ovale"
"61019","","","patiria pectinifera"
"61020","","","populus tremula"
"61027","","","sphyraena barracuda"
"61028","","","starkeya novella"
"61029","","","suberites domuncula"
"61031","","","taenia asiatica"
"61034","","","veillonella parvula"
"61035","","","weissella confusa"
"61036","","","woodworthia chrysosiretica"
"61037","","","woodworthia maculata"
"61041","","","methanococcus voltae"
"61042","","","molinema dessetae"
"61043","","","rhizopus oryzae"
"61055","","","caldanaerobacter subterraneus"
"61060","","","clupea harengus"
"61064","","","desulfovibrio desulfuricans"
"61075","","","rhizopus delemar"
"61082","","","enterococcus faecium"
"61085","","","hanseniaspora uvarum"
"61087","","","oligosoma zelandicum"
"61088","","","homarus americanus"
"61092","","","rhodoglossum japonicum"
"61097","","","saduria entomon"
"61098","","","agama stellio"
"61100","","","desulfovibrio piger"
"61253","camel's foot tree","camel's foot tree","bauhinia purpurea"
"61255","flametree","flametree","delonix regia"
"61258","sweet trefoil","sweet trefoil","trigonella caerulea"
"61808","jalapeno pepper","jalapeno pepper; jalapeno pepper ()","capsicum annuum 'jalape o'"
"61810","greek feta cheese","greek feta cheese",""
"61811","clementine","clementine","citrus clementina; citrus x clementina"
"61815","green apple","green apple",""
"61982","","","nothofagus"
"61984","lily family","lily family","liliaceae"
"61985","myrtle family","myrtle family","myrtaceae"
"61986","","eucalyptus","eucalyptus; acalypha"
"61989","goober","goober","arachis hypogaea"
"61990","siberian pine","siberian pine","pinus sibirica"
"61991","","","veratrum grandiflorum"
"63747","","","paracoccus seriniphilus"
"63748","","","pseudomonas denitrificans"
"63749","","","psilocybe cubensis"
"63751","","","roseobacter litoralis"
"63782","","","bacteriovorax stolpii"
"63789","","","psychromonas ingrahamii"
"63790","","","sphingomonas wittichii"
"63791","","","hyphomicrobium methylovorum"
"63795","","","sphingobacterium multivorum"
"63796","","","sphingobacterium spiritivorum"
"63959","","","clostridium acidi"
"63973","","","peptoniphilus asaccharolyticus"
"64001","","","eubacterium barkeri"
"64009","","","delftia sp."
"64458","","","micrococcus sp.; micrococcus"
"64462","","","picea abies"
"64464","","","streptomyces rimosus"
"64507","lean fish","lean fish",""
"64898","duke knapsack ron g. buttery and louisa c. ling. volatile flavor components of com tortillas and related products. j. agrie. food chem. 1995, 43, 1878 1882","duke knapsack ron g. buttery and louisa c. ling. volatile flavor components of com tortillas and related products. j. agrie. food chem. 1995, 43, 1878 1882","zea mays"
"64929","","vanilla","vanilla; vanilla planifolia"
"64930","african sugarcane borer","african sugarcane borer","eldana saccharina"
"64931","clove","cloves; clove","syzygium aromaticum; eugenia caryophyllata"
"65471","","","thiocapsa roseopersicina"
"65472","","","paracoccus haeundaensis"
"65897","yali pear","yali pear","pyrus x bretschneideri; pyrus bretschneideri"
"66327","","","rhizoglyphus echinopus"
"66412","","","desulfovibrio alaskensis"
"66442","belladonna","belladonna","atropa belladonna"
"66444","common hop","common hop","humulus lupulus"
"66445","molluscs","mollusc; molluscs","mollusca; spisula sacchalinensis"
"66446","","","strophanthus"
"66471","","","arabidopsis sp.; arabidopsis"
"66474","","","loligo sp."
"66475","","","torpedo sp."
"66482","","","limonium perezii"
"66486","","","cylindrocarpon didymum"
"66523","electric eel","electric eel","electrophorus electricus"
"66886","","","rubus idaeus"
"67145","arabica coffee","arabica coffee","coffea arabica"
"67212","","","trametes cinnabarina"
"67248","","","erythrina crista"
"67704","broccoli","broccoli","brassica oleracea var. italica; duke exp pmid 9416471 fernando vallejo, f a tomas barberan, c garcia viguera. potential bioactive compounds in health promotion from broccoli cultivars grown in spain. j sci food agric, 2002, 82(11):1293 1297; dtu usda duke pmid 17071511 f. vallejo, f. tomas barberan, c. garcia viguera. glucosinolates and vitamin c content in edible parts of broccoli florets after domestic cooking. eur food res technol (2002) 215:310 316 fernando vallejo, f a tomas barberan, c garcia viguera. potential bioactive compounds in health promotion from broccoli cultivars grown in spain. j sci food agric, 2002, 82(11):1293 1297; phenolex duke exp pmid 12720387 f. vallejo, fa. tomas barberan, c. garcia viguera. phenolic compound contents in edible parts of broccoli inflorescences after domestic cooking. j sci food agric 2003, 83:1511 1516; duke pmid 12720387 pmid 16713696 fernando vallejo, f a tomas barberan, c garcia viguera. potential bioactive compounds in health promotion from broccoli cultivars grown in spain. j sci food agric, 2002, 82(11):1293 1297 pmid 17071511 phytohub; phenolex pmid 12720387 f. vallejo, fa. tomas barberan, c. garcia viguera. phenolic compound contents in edible parts of broccoli inflorescences after domestic cooking. j sci food agric 2003, 83:1511 1516; duke pmid 12720387 pmid 16713696 f. vallejo, f. tomas barberan, c. garcia viguera. glucosinolates and vitamin c content in edible parts of broccoli florets after domestic cooking. eur food res technol (2002) 215:310 316 fernando vallejo, f a tomas barberan, c garcia viguera. potential bioactive compounds in health promotion from broccoli cultivars grown in spain. j sci food agric, 2002, 82(11):1293 1297 pmid 17071511 phytohub; phenolex pmid 9416471 f. vallejo, fa. tomas barberan, c. garcia viguera. phenolic compound contents in edible parts of broccoli inflorescences after domestic cooking. j sci food agric 2003, 83:1511 1516 phytohub; duke pmid 12720387 pmid 16713696 f. vallejo, f. tomas barberan, c. garcia viguera. glucosinolates and vitamin c content in edible parts of broccoli florets after domestic cooking. eur food res technol (2002) 215:310 316 fernando vallejo, f a tomas barberan, c garcia viguera. potential bioactive compounds in health promotion from broccoli cultivars grown in spain. j sci food agric, 2002, 82(11):1293 1297 pmid 17071511 phytohub inf; duke exp pmid 9416471 fernando vallejo, f a tomas barberan, c garcia viguera. potential bioactive compounds in health promotion from broccoli cultivars grown in spain. j sci food agric, 2002, 82(11):1293 1297 phytohub; phenolex f. vallejo, fa. tomas barberan, c. garcia viguera. phenolic compound contents in edible parts of broccoli inflorescences after domestic cooking. j sci food agric 2003, 83:1511 1516 phytohub"
"67731","bai jie","bai jie","sinapis alba; sinapis arvensis"
"68170","red pepper","red pepper","capsicum annuum var. annuum"
"68173","mulberry family","mulberry family","moraceae"
"68174","mint family","mint family","lamiaceae"
"68175","gentian family","gentian family","gentianaceae"
"68177","willow family","willow family","salicaceae"
"68472","","","uncaria elliptica"
"68629","","","bambusa sp."
"68634","","","malpighia glabra"
"68637","","","silene latifolia"
"68639","","","linum usitatissimum"
"68641","","","trigonella foenum"
"68695","","","artemisia rubripes"
"68697","","","artemisia gmelinii"
"68699","","","eucommia ulmoides"
"68700","","","plantago major"
"68780","","","acetobacterium woodii"
"70467","","","alternaria porri"
"70469","","","boodlea composita"
"70470","","","ceratocystis clavigera"
"70472","","","gelasinospora kobi"
"70473","","","isodictya erinacea"
"70474","opium poppy","opium poppy","papaver somniferum"
"70476","cherry","cherry","prunus avium"
"70477","","","sirodesmium diversum"
"70480","","","tedania anhelans; tedania annhelans"
"70481","grapes","grape; grapes","vitis; vitis vinifera"
"70493","tea","tea","camellia sinensis; camellia thea; thea sinensis"
"70836","","","artemisia annua"
"70843","","","lycium chinense"
"70852","","","nicotiana rustica"
"70854","","","nyssa sylvatica"
"70867","","","fraxinus chinensis"
"70871","","","bupleurum fruticosum"
"70899","dong dang gui","dong dang gui","angelica acutiloba"
"70901","","","convolvulus scammonia"
"70902","","","diospyros"
"70903","","","gelsemium sempervirens"
"70904","cow parsnips","cow parsnips","heracleum; heracleum giganteum; heracleum nepalense; heracleum thomsoni; heracleum lanatum var. nipponicum; heracleum yunngningense; heracleum pyrenaicum; heracleum ceylanicum; heracleum sprengelianum; heracleum canescens; heracleum granatense"
"70905","","","ipomoea orizabensis"
"70906","","","peucedanum"
"70908","","","skimmia"
"70917","pichi","pichi","fabiana imbricata; picea"
"71119","","","penicillium simplicissimum"
"71143","","","rosa chinensis"
"71156","cherry pepper","cherry pepper",""
"71336","","thyme","thymus vulgaris; thymus; thymbra"
"71352","","","piper betle"
"71353","","","pelargonium"
"71356","","","camellia"
"71358","","","carum gratissimum"
"71359","red spinach","red spinach","celosia argentea"
"71360","","","cinnamomum"
"71361","","","cistus"
"71363","clove","cloves; clove","syzygium aromaticum; eugenia caryophyllata"
"71364","curry plant","curry plant","helichrysum italicum; helichrysum italicum var. microphyllum"
"71365","","","licaria"
"71368","basil","basil; basils","ocimum syave; ocimum basilicum; ocimum; ocimum canum; ocimum rubrum; ocimum sanctum"
"72085","","","amorosia littoralis"
"72087","","","claviceps sorghicola"
"72090","","","cola; cotula"
"72092","","","rubiaceae"
"72093","","","sterculiaceae"
"72094","","","theaceae"
"72872","","","macadamia ternifolia"
"72898","","","rhodotorula aurantiaca"
"72903","","","lysinibacillus fusiformis"
"73812","nutmeg","nutmeg","myristica fragrans; myristica moschata"
"74174","","","kurthia huakuii"
"74201","","","clarias gariepinus"
"74202","","","corydalis chinensis"
"74206","","","lablab purpureus"
"74212","","","scyllarides latus"
"74217","","","panulirus argus"
"74220","","","amorphophallus paeoniifolius"
"74221","","","eschscholtzia tenuifolia"
"74222","","","narcissus aff."
"74224","","","nandina domestica"
"74228","","","anethum graveolens"
"74229","","","alangium lamarckii"
"74230","","","aphonopelma californicum"
"74884","","","enterococcus avium"
"74896","","","alicyclobacillus acidocaldarius"
"74902","","","candidatus koribacter"
"74922","","","prevotella ruminicola"
